Class,Methods,Over-exposed methods
ExecutionPlanItem in org::apache::maven::lifecycle::internal (Class),12,0
ModelBuildingResult in org::apache::maven::model::building (Class),12,0
ToolchainsBuilder in org::apache::maven::toolchain (Class),2,0
PluginBuilder in org::apache::maven::AbstractCoreMavenComponentTestCase (Class),5,0
LegacyRepositoryLayout in org::apache::maven::repository (Class),11,0
ConflictResolver in org::apache::maven::repository::legacy::resolver::conflict (Class),2,0
SettingsDecryptionRequest in org::apache::maven::settings::crypto (Class),6,0
DependencyResolutionException in org::apache::maven::project (Class),2,0
ArtifactRepositoryAdapter in org::apache::maven::artifact::repository::LegacyLocalRepositoryManager (Class),30,1
DefaultRuntimeInformation in org::apache::maven::rtinfo::internal (Class),2,1
ReactorBuildStatus in org::apache::maven::lifecycle::internal (Class),7,2
anonymous(ArtifactFilter) in org::apache::maven::artifact::resolver::filter::OrArtifactFilterTest.newSubFilter() (Class),1,0
DefaultArtifactVersion in org::apache::maven::artifact::versioning (Class),12,0
ProjectBuilder in org::apache::maven::AbstractCoreMavenComponentTestCase (Class),11,0
BuildTimestampValueSource in org::apache::maven::project::interpolation (Class),2,0
PluginConfigurationExpander in org::apache::maven::model::plugin (Class),2,0
ModelReader in org::apache::maven::model::io (Class),5,0
ProjectInheritanceTest in org::apache::maven::project::inheritance::t02 (Class),1,0
DefaultInheritanceAssembler in org::apache::maven::model::inheritance (Class),4,0
GraphConflictResolutionException in org::apache::maven::repository::metadata (Class),5,0
DefaultProfileManager in org::apache::maven::profiles (Class),18,0
anonymous(DependencyResolutionResult) in org::apache::maven::lifecycle::internal::stub::ProjectDependenciesResolverStub.resolve() (Class),6,0
ProfileTest in org::apache::maven::model (Class),4,0
InvalidParameterException in org::apache::maven::plugin::descriptor (Class),2,0
GraphLogger in org::apache::maven::project::DefaultProjectDependenciesResolver (Class),5,0
DefaultPluginVersionResult in org::apache::maven::plugin::version::internal (Class),7,1
LegacyRepositorySystem in org::apache::maven::repository::legacy (Class),36,0
ArtifactRepositoryLayoutStub in org::apache::maven::repository::legacy::DefaultWagonManagerTest (Class),5,0
MissingProjectException in org::apache::maven::lifecycle (Class),1,0
PomTestWrapper in org::apache::maven::project::harness (Class),10,0
ThreadBoundPrintStream in org::apache::maven::lifecycle::internal::ThreadOutputMuxer (Class),26,0
ExecutionEventCatapultStub in org::apache::maven::lifecycle::internal::stub (Class),3,0
ReleaseArtifactTransformation in org::apache::maven::repository::legacy::resolver::transform (Class),5,0
anonymous(ArtifactMetadataSource) in org::apache::maven::artifact::resolver::ArtifactResolverTest.testTransitiveResolutionOrder() (Class),5,0
BeanConfigurationRequest in org::apache::maven::configuration (Class),12,0
StubLifecycleBindingsInjector in org::apache::maven::model::building::DefaultModelBuilderFactory (Class),2,0
DefaultModelBuildingResult in org::apache::maven::model::building (Class),18,1
DuplicateProjectException in org::apache::maven (Class),2,0
PluginArtifactsCache in org::apache::maven::plugin (Class),8,0
DeploymentRepositoryTest in org::apache::maven::model (Class),4,0
DefaultModelProcessor in org::apache::maven::model::building (Class),7,1
SystemPropertyProfileActivator in org::apache::maven::profiles::activation (Class),3,0
InheritanceModelMerger in org::apache::maven::model::inheritance::DefaultInheritanceAssembler (Class),5,0
NoPluginFoundForPrefixException in org::apache::maven::plugin::prefix (Class),3,0
CacheRecord in org::apache::maven::plugin::ExtensionRealmCache (Class),2,0
