Class,Methods,Over-exposed methods
NioChannel in org::apache::tomcat::util::net (Class),24,4
ModelerSource in org::apache::tomcat::util::modeler::modules (Class),5,0
PathCallParamRule in org::apache::tomcat::util::digester (Class),4,0
ThroughputInterceptor in org::apache::catalina::tribes::group::interceptors (Class),17,0
TagAdapter in javax::servlet::jsp::tagext (Class),8,1
TesterSSLSocketFactory in org::apache::tomcat::util::net::TesterSupport (Class),8,0
StatusManagerServlet in org::apache::catalina::manager (Class),5,0
Bug51445Servlet in org::apache::catalina::core::TestStandardWrapper (Class),4,1
ErrorData in javax::servlet::jsp (Class),5,0
ELNode in org::apache::jasper::compiler (Class),1,0
StandardClassLoader in org::apache::catalina::loader (Class),2,0
JDBCAccessLogValve in org::apache::catalina::valves (Class),32,3
CodeException in org::apache::tomcat::util::bcel::classfile (Class),7,1
Unknown in org::apache::tomcat::util::bcel::classfile (Class),7,0
State in org::apache::catalina::core::ApplicationDispatcher (Class),2,0
AbortedPOSTServlet in org::apache::catalina::core::TestSwallowAbortedUploads (Class),4,0
JspContext in javax::servlet::jsp (Class),16,2
anonymous(BaseSessionComparator) in org::apache::catalina::manager::HTMLManagerServlet.getComparator() (Class),1,0
TestResourceBundleELResolver in javax::el (Class),1,0
MBeanFactory in org::apache::catalina::mbeans (Class),36,0
anonymous(LimitedInputStream) in org::apache::tomcat::util::http::fileupload::FileUploadBase::FileItemIteratorImpl::FileItemStreamImpl.FileItemStreamImpl() (Class),1,0
BorrowWaitTest in org::apache::tomcat::jdbc::test (Class),3,0
HttpServlet in javax::servlet::http (Class),14,0
HandlerRef in org::apache::naming (Class),5,0
ScriptingVarVisitor in org::apache::jasper::compiler::Generator.declareTemporaryScriptingVars() (Class),2,0
JspPropertyNotWritableException in org::apache::jasper::el (Class),2,0
DeltaManager in org::apache::catalina::ha::session (Class),86,10
CometEventImpl in org::apache::catalina::connector (Class),12,2
AnnotationCacheEntry in org::apache::catalina::core::DefaultInstanceManager (Class),5,2
GetRequestDispatcherPrivilegedAction in org::apache::catalina::connector::RequestFacade (Class),2,0
anonymous(PrivilegedExceptionAction) in org::apache::jasper::runtime::PageContextImpl.include() (Class),1,0
TestCoyoteAdapter in org::apache::catalina::connector (Class),15,0
DefaultWebXmlListener in org::apache::catalina::startup::Tomcat (Class),2,1
HelloWorldExample in <Default Package> (Class),2,0
AjpNioProtocol in org::apache::coyote::ajp (Class),5,0
RewindableInputStream in org::apache::jasper::xmlparser::XMLEncodingDetector (Class),9,0
Member in org::apache::catalina::tribes (Class),14,3
UrlJar in org::apache::tomcat::util::scan (Class),10,1
anonymous(Runnable) in org::apache::catalina::core::TestAsyncContextImpl::Bug49528Servlet.doGet() (Class),1,0
EchoHeaderServlet in org::apache::coyote::http11::filters::TestChunkedInputFilter (Class),3,0
anonymous(ThreadLocal) in org::apache::catalina::util::DateTool.<Initializer>() (Class),1,0
Remove in org::apache::jasper::tagplugins::jstl::core (Class),1,0
ExpandWar in org::apache::catalina::startup (Class),9,0
StandardPipeline in org::apache::catalina::core (Class),19,1
HttpSessionBindingListener in javax::servlet::http (Class),2,0
EqualNode in org::apache::catalina::ssi::ExpressionParseTree (Class),4,0
ConstantUtf8 in org::apache::tomcat::util::bcel::classfile (Class),5,1
anonymous(Runnable) in org::apache::catalina::core::TestAsyncContextImpl::Bug49567Servlet.doGet()::anonymous(Runnable).run() (Class),1,0
StackMapType in org::apache::tomcat::util::bcel::classfile (Class),11,2
SimpleTagSupport in javax::servlet::jsp::tagext (Class),9,0
JasperTagInfo in org::apache::jasper::compiler (Class),3,1
NioEndpoint in org::apache::tomcat::util::net (Class),47,5
ClusterSession in org::apache::catalina::ha (Class),2,1
UndeployTask in org::apache::catalina::ant (Class),1,0
AsyncContextImpl in org::apache::catalina::core (Class),25,5
CheckTest in checkbox (Class),3,0
JspProperty in org::apache::jasper::compiler::JspConfig (Class),12,11
CompressionResponseStream in compressionFilters (Class),12,1
CustomObjectInputStream in org::apache::catalina::util (Class),4,0
Utility in org::apache::tomcat::util::bcel::classfile (Class),20,0
SessionConfig in org::apache::catalina::deploy (Class),20,10
LockInfo in org::apache::catalina::servlets::WebdavServlet (Class),6,3
Bug51445Thread in org::apache::catalina::core::TestStandardWrapper (Class),3,1
