Class,Methods,Over-exposed methods
TGRunnable in org::herac::tuxguitar::util::TGSynchronizer (Class),1,0
GTPPluginList in org::herac::tuxguitar::io::gtp (Class),6,0
ChangeBendNoteAction in org::herac::tuxguitar::gui::actions::effects (Class),5,0
anonymous(SelectionAdapter) in org::herac::tuxguitar::gui::editors::lyric::LyricEditor.loadToolBar() (Class),1,0
anonymous(SelectionAdapter) in org::herac::tuxguitar::gui::actions::track::TrackPropertiesAction.initTrackInfo() (Class),1,0
DisposeListenerImpl in org::herac::tuxguitar::gui::editors::matrix::MatrixEditor (Class),2,1
TGShareSongRequest in org::herac::tuxguitar::community::io (Class),3,1
anonymous(SelectionAdapter) in org::herac::tuxguitar::gui::editors::piano::PianoConfig.configure() (Class),1,0
anonymous(SelectionAdapter) in org::herac::tuxguitar::gui::actions::tools::TransposeAction.showDialog() (Class),1,0
anonymous(SelectionAdapter) in org::herac::tuxguitar::gui::transport::TGTransport.initToolBar() (Class),1,0
JackOutputPortProviderPlugin in org::herac::tuxguitar::jack::synthesizer (Class),3,0
TGBrowserManager in org::herac::tuxguitar::gui::tools::browser (Class),18,5
anonymous(SelectionAdapter) in org::herac::tuxguitar::gui::tools::custom::tuner::TGTunerDialog.show() (Class),1,0
TGBrowserResponse in org::herac::tuxguitar::community::browser (Class),8,1
anonymous(Runnable) in org::herac::tuxguitar::gui::actions::file::NewFileAction.execute() (Class),1,0
SetCompactViewAction in org::herac::tuxguitar::gui::actions::layout (Class),3,0
anonymous(SelectionAdapter) in org::herac::tuxguitar::gui::editors::chord::ChordSettingsDialog.initFretSearch() (Class),1,0
anonymous(SelectionAdapter) in org::herac::tuxguitar::player::impl::jsa::assistant::SBAssistant.open() (Class),1,0
TEInputStream in org::herac::tuxguitar::io::tef (Class),18,4
DurationMenuItem in org::herac::tuxguitar::gui::items::menu (Class),6,1
anonymous(SelectionAdapter) in org::herac::tuxguitar::gui::system::keybindings::editor::KeyBindingSelector.select() (Class),1,0
MidiReceiverImpl in org::herac::tuxguitar::player::impl::midiport::oss (Class),11,3
