Class,Methods,Over-exposed methods
re,3,0
Messages in org::apache::xml::serializer::utils (Class),8,0
LangCall in org::apache::xalan::xsltc::compiler (Class),4,0
ObjectFactory in org::apache::xalan::xsltc::compiler::util (Class),11,0
XMLChar in org::apache::xml::serializer::utils (Class),22,0
ElemUse in org::apache::xalan::templates (Class),7,0
SerializerMessages_en in org::apache::xml::serializer::utils (Class),0,0
Util in org::apache::xalan::xsltc::trax (Class),4,0
XUnresolvedVariableSimple in org::apache::xalan::templates (Class),5,0
InternalError in org::apache::xalan::xsltc::compiler::util (Class),1,0
Mult in org::apache::xpath::operations (Class),4,0
MissingOptArgException in org::apache::xalan::xsltc::cmdline::getopt (Class),2,0
ObjectFactory in org::apache::xalan::xsltc::trax (Class),11,0
ToTextStream in org::apache::xml::serializer (Class),25,0
anonymous(PrivilegedAction) in org::apache::xalan::xsltc::trax::SecuritySupport12.getLastModified() (Class),1,0
Encodings in org::apache::xml::serializer (Class),15,0
TreeWalker in org::apache::xml::serializer (Class),9,0
DescendantIterator in org::apache::xml::dtm::ref::sax2dtm::SAX2DTM2 (Class),5,0
ConfigurationError in org::apache::xalan::xsltc::trax::ObjectFactory (Class),3,0
XMLNSDecl in org::apache::xalan::templates (Class),5,2
StringLengthCall in org::apache::xalan::xsltc::compiler (Class),2,0
anonymous(PrivilegedAction) in org::apache::xml::serializer::SecuritySupport12.getSystemClassLoader() (Class),1,0
DOM2DOM in <Default Package> (Class),1,0
SecuritySupport12 in org::apache::xml::serializer (Class),9,0
VarNameCollector in org::apache::xalan::templates (Class),6,3
AttributeIterator in org::apache::xml::dtm::ref::DTMDefaultBaseIterators (Class),3,1
anonymous(PrivilegedAction) in org::apache::xalan::xsltc::dom::SecuritySupport12.getLastModified() (Class),1,0
ElemContext in org::apache::xml::serializer (Class),6,0
OutlineableChunkEnd in org::apache::xalan::xsltc::compiler::util (Class),5,1
TrAXFilter in org::apache::xalan::transformer (Class),8,0
ExtensionTest in <Default Package> (Class),1,0
ElemTextLiteral in org::apache::xalan::templates (Class),12,1
ExtensionNamespaceSupport in org::apache::xalan::extensions (Class),4,2
XPATHMessages in org::apache::xpath::res (Class),2,0
BinOpExpr in org::apache::xalan::xsltc::compiler (Class),8,0
XBooleanStatic in org::apache::xpath::objects (Class),3,0
MultistepExprHolder in org::apache::xalan::templates::RedundentExprEliminator (Class),6,1
XStringForChars in org::apache::xpath::objects (Class),13,0
Comment in org::apache::xalan::xsltc::compiler (Class),3,0
