scenario,obfuscator,configuration,energy
AnkiDroid-New_Deck,allatori,all,225.125672099608
AnkiDroid-New_Deck,allatori,all,224.672899044172
AnkiDroid-New_Deck,allatori,all,223.523332763212
AnkiDroid-New_Deck,allatori,all,225.480666396645
AnkiDroid-New_Deck,allatori,all,225.173494364746
AnkiDroid-New_Deck,allatori,all,225.358777684328
AnkiDroid-New_Deck,allatori,all,225.114569106145
AnkiDroid-New_Deck,allatori,all,226.059567622809
AnkiDroid-New_Deck,allatori,all,224.603862657905
AnkiDroid-New_Deck,allatori,all,224.495015149612
AnkiDroid-New_Deck,allatori,all,224.430701132688
AnkiDroid-New_Deck,allatori,all,226.738921018459
AnkiDroid-New_Deck,allatori,all,226.085116629356
AnkiDroid-New_Deck,allatori,all,225.551036222165
AnkiDroid-New_Deck,allatori,all,224.723953676324
AnkiDroid-New_Deck,allatori,all,225.671960489501
AnkiDroid-New_Deck,allatori,all,225.478818200781
AnkiDroid-New_Deck,allatori,all,224.389100388304
AnkiDroid-New_Deck,allatori,all,224.304518909248
AnkiDroid-New_Deck,allatori,all,224.012832266632
AnkiDroid-New_Deck,allatori,all,224.030875424872
AnkiDroid-New_Deck,allatori,all,224.941476027384
AnkiDroid-New_Deck,allatori,all,225.351181489783
AnkiDroid-New_Deck,allatori,all,224.967711181791
AnkiDroid-New_Deck,allatori,all,224.693696446808
AnkiDroid-New_Deck,allatori,all,225.093370629356
AnkiDroid-New_Deck,allatori,all,224.69196828313
AnkiDroid-New_Deck,allatori,all,225.107663164088
AnkiDroid-New_Deck,allatori,all,223.723417613692
AnkiDroid-New_Deck,allatori,all,224.732549407832
AnkiDroid-New_Deck,allatori,cf,224.886471632535
AnkiDroid-New_Deck,allatori,cf,224.106346117071
AnkiDroid-New_Deck,allatori,cf,224.267129849343
AnkiDroid-New_Deck,allatori,cf,224.318969093942
AnkiDroid-New_Deck,allatori,cf,221.668812354992
AnkiDroid-New_Deck,allatori,cf,223.523221395716
AnkiDroid-New_Deck,allatori,cf,224.700358455871
AnkiDroid-New_Deck,allatori,cf,224.407364767404
AnkiDroid-New_Deck,allatori,cf,223.130448244575
AnkiDroid-New_Deck,allatori,cf,224.377115286988
AnkiDroid-New_Deck,allatori,cf,223.480261349296
AnkiDroid-New_Deck,allatori,cf,224.031127677259
AnkiDroid-New_Deck,allatori,cf,221.670604291477
AnkiDroid-New_Deck,allatori,cf,225.770697859669
AnkiDroid-New_Deck,allatori,cf,223.478580497888
AnkiDroid-New_Deck,allatori,cf,224.947695318719
AnkiDroid-New_Deck,allatori,cf,223.272507210797
AnkiDroid-New_Deck,allatori,cf,223.767328673708
AnkiDroid-New_Deck,allatori,cf,224.169772225581
AnkiDroid-New_Deck,allatori,cf,224.434143843791
AnkiDroid-New_Deck,allatori,cf,224.756974818504
AnkiDroid-New_Deck,allatori,cf,224.165857835892
AnkiDroid-New_Deck,allatori,cf,224.929126313036
AnkiDroid-New_Deck,allatori,cf,223.956992056165
AnkiDroid-New_Deck,allatori,cf,225.462571952098
AnkiDroid-New_Deck,allatori,cf,221.715733463285
AnkiDroid-New_Deck,allatori,cf,223.703582422752
AnkiDroid-New_Deck,allatori,cf,223.283518466108
AnkiDroid-New_Deck,allatori,cf,223.953705817337
AnkiDroid-New_Deck,allatori,cf,224.125896753696
AnkiDroid-New_Deck,allatori,opt,223.64276317998
AnkiDroid-New_Deck,allatori,opt,225.694786943417
AnkiDroid-New_Deck,allatori,opt,223.927290783427
AnkiDroid-New_Deck,allatori,opt,223.676092601649
AnkiDroid-New_Deck,allatori,opt,222.86362116131
AnkiDroid-New_Deck,allatori,opt,223.367383769488
AnkiDroid-New_Deck,allatori,opt,223.701643074731
AnkiDroid-New_Deck,allatori,opt,224.608937791457
AnkiDroid-New_Deck,allatori,opt,223.698136260216
AnkiDroid-New_Deck,allatori,opt,223.389230799304
AnkiDroid-New_Deck,allatori,opt,223.236984215628
AnkiDroid-New_Deck,allatori,opt,223.443185763452
AnkiDroid-New_Deck,allatori,opt,223.665836403205
AnkiDroid-New_Deck,allatori,opt,224.451335533444
AnkiDroid-New_Deck,allatori,opt,223.24768834803
AnkiDroid-New_Deck,allatori,opt,222.818306859296
