Week,Effort
-0.004115,137.346884
1.084493,173.067678
2.032680,151.703210
2.884615,180.279040
4.164069,171.414738
5.019853,71.562313
6.059961,144.739336
7.198138,107.329385
8.051463,89.528345
8.997886,127.026828
10.277821,102.108994
11.132054,53.984616
12.080508,23.701520
13.026985,59.416278
14.117944,16.653137
15.111531,61.288536
15.964429,57.757302
17.055121,23.912791
18.192069,27.528533
19.092557,16.864408
20.087480,16.906662
20.891718,56.182834
22.028558,63.366028
23.069896,95.517358
23.970385,84.853233
25.060864,58.143625
26.148617,122.404031
27.144982,74.285689
28.091993,92.163189
29.229956,61.888141
29.987031,94.027399
31.171836,81.591621
32.026177,29.899791
33.021100,29.942045
34.062384,63.877101
35.011319,17.540473
36.054046,3.314933
37.238478,3.365236
37.901118,24.798114
38.990849,23.060667
39.937593,49.856795
41.075235,30.284102
42.307044,30.336417
42.970806,14.311054
43.634088,14.339224
44.060697,7.222429
45.292239,16.193373
46.950871,1.993990
48.087231,25.230715
49.034616,30.622135
49.982695,12.825119
50.835753,3.942708
52.067188,16.481103
52.967677,5.816978
54.056552,32.619143
54.909236,36.222812
55.951483,38.050804
56.994370,18.474087
58.131264,23.873555
58.842244,13.201382
61.116406,11.514237
61.968289,41.873792
62.867762,65.100457
64.336511,63.379106
65.284377,52.716994
66.090164,40.265119
67.085140,38.523648
68.175298,22.516394
69.028624,4.715354
73.008260,6.668096
73.954790,40.599128
75.140291,4.974915
76.182537,6.802907
77.224516,17.549528
78.977743,8.705346
80.067259,14.102802
80.920264,7.004117
82.104696,7.054419
82.956898,26.711620
84.047217,5.353189
